Gender,Education Level,Marital Status,Income,Credit Score,Employment Status,Debt-to-Income Ratio,Risk Rating
Female,High School,Widowed,116346,767,Unemployed,0.139693749,Low
Non-binary,Bachelor's,Widowed,,671,Self-employed,0.151976867,Low
Male,PhD,Married,,798,Employed,0.152626653,Low
Non-binary,PhD,Single,70998,784,Self-employed,0.226081432,Low
Non-binary,High School,Divorced,63007,672,Employed,0.368810554,Low
Non-binary,High School,Married,48247,745,Unemployed,0.595808036,High
Non-binary,Master's,Single,77940,770,Self-employed,0.296864285,High
Male,Bachelor's,Widowed,43135,775,Employed,0.585688111,High
Female,PhD,Married,63095,675,Unemployed,0.582005041,Low
Non-binary,High School,Widowed,99606,,Unemployed,0.25218254,High
Male,High School,Single,39504,689,Employed,0.574087808,Low
Non-binary,PhD,Divorced,,,Self-employed,0.32081525,High
Female,PhD,Single,40439,636,Employed,0.486644286,High
Male,Master's,Widowed,56656,660,Employed,0.533426329,High
Non-binary,Bachelor's,Married,96190,755,Employed,0.166459677,Low
Non-binary,High School,Widowed,106479,738,Self-employed,0.16664519,Low
Female,Bachelor's,Married,65797,735,Employed,0.265773859,High
Non-binary,Master's,Single,108713,702,Self-employed,0.527100947,High
Female,PhD,Married,60426,720,Employed,0.202928189,Low
Male,High School,Single,119027,715,Unemployed,0.553803867,Low
Female,PhD,Single,77784,632,Self-employed,0.172163646,Low
Male,PhD,Widowed,44067,666,Unemployed,0.307662949,Low
Male,Master's,Divorced,75103,,Employed,0.108420508,Low
Male,Bachelor's,Widowed,91613,712,Employed,0.147597492,High
Non-binary,High School,Widowed,,726,Employed,0.328156963,Low
Non-binary,High School,Divorced,73266,,Unemployed,0.299124018,Low
Male,High School,Single,59909,764,Self-employed,0.154283197,Low
Female,PhD,Single,82661,773,Unemployed,0.412307471,High
Female,PhD,Single,54626,784,Unemployed,0.537764325,Low
Female,Bachelor's,Widowed,73426,684,Self-employed,0.373372433,High
Non-binary,PhD,Single,106541,,Employed,0.357719875,High
Female,Bachelor's,Single,63826,703,Unemployed,0.258967298,Low
Male,Master's,Widowed,107812,683,Unemployed,0.439705306,Low
Male,PhD,Widowed,,737,Unemployed,0.56453268,High
Male,High School,Widowed,112905,,Unemployed,0.303681264,Low
Female,PhD,Single,22736,714,Self-employed,0.249353635,High
Non-binary,High School,Single,76473,684,Employed,0.284643672,High
Male,High School,Divorced,88019,613,Unemployed,0.113433301,Low
Non-binary,Master's,Divorced,36217,755,Employed,0.480231019,High
Non-binary,PhD,Married,89817,695,Unemployed,0.498835905,High
Male,Bachelor's,Single,63199,666,Employed,0.384004767,Low
Female,PhD,Single,102189,765,Unemployed,0.471768038,High
Non-binary,Master's,Divorced,39727,710,Employed,0.57412331,Low
Non-binary,PhD,Widowed,71457,753,Unemployed,0.514007943,High
Female,High School,Widowed,72508,705,Employed,0.150337004,Low
Non-binary,High School,Single,102684,634,Employed,0.435103483,High
Non-binary,Bachelor's,Divorced,46170,635,Employed,0.542501996,Low
Non-binary,High School,Divorced,50183,736,Unemployed,0.492173698,Low
Non-binary,PhD,Single,21135,732,Employed,0.49546261,Low
Non-binary,Bachelor's,Divorced,106378,613,Employed,0.122799992,High
Non-binary,PhD,Married,102990,771,Unemployed,0.288148735,Low
Non-binary,Master's,Single,61057,775,Unemployed,0.308930088,Low
Non-binary,Bachelor's,Single,71986,670,Self-employed,0.446109113,Low
Male,Master's,Divorced,48082,639,Unemployed,0.343449067,High
Male,High School,Married,117898,733,Self-employed,0.343808729,Low
Non-binary,High School,Divorced,28083,638,Unemployed,0.261662771,Low
Non-binary,PhD,Married,54592,776,Self-employed,0.535285415,Low
Male,Bachelor's,Divorced,48281,755,Employed,0.158545807,High
Female,Bachelor's,Widowed,68838,660,Employed,0.343875451,Low
Female,Master's,Divorced,31251,625,Unemployed,0.49750222,Low
Female,High School,Single,61201,620,Employed,0.516994507,Low
Non-binary,High School,Married,71899,655,Self-employed,0.163918821,High
Female,PhD,Widowed,62631,610,Unemployed,0.16757722,High
Non-binary,PhD,Widowed,,,Unemployed,0.197596916,Low
Non-binary,Master's,Married,71658,707,Self-employed,0.233182977,High
Non-binary,PhD,Married,72357,705,Unemployed,0.463935601,Low
Female,High School,Widowed,24153,769,Unemployed,0.364587881,High
Female,High School,Divorced,,763,Self-employed,0.155083266,High
Male,High School,Single,112345,765,Employed,0.583298646,Low
Male,High School,Married,78169,,Self-employed,0.36801508,High
Female,PhD,Single,111903,632,Employed,0.470446902,Low
Female,PhD,Widowed,98027,779,Self-employed,0.363622224,High
Male,PhD,Widowed,23657,,Unemployed,0.572417801,Low
Male,Bachelor's,Divorced,81455,,Employed,0.243107118,Low
Male,PhD,Divorced,33292,,Employed,0.332786653,High
Non-binary,Bachelor's,Widowed,108890,,Self-employed,0.204328554,Low
Female,PhD,Single,106840,,Self-employed,0.430126221,High
Male,Master's,Divorced,119655,772,Self-employed,0.201695984,Low
Female,Master's,Single,,773,Self-employed,0.127711342,High
Female,Bachelor's,Married,,668,Employed,0.458845886,Low
Female,PhD,Divorced,,,Unemployed,0.122103364,Low
Non-binary,Master's,Divorced,69862,793,Employed,0.567811918,Low
Female,High School,Single,29136,641,Self-employed,0.508339213,Low
Male,PhD,Single,98066,723,Self-employed,0.531825713,High
Non-binary,Master's,Married,69282,733,Unemployed,0.364348748,Low
Male,High School,Divorced,,710,Employed,0.134635782,Low
Female,Bachelor's,Single,68707,643,Self-employed,0.314789341,Low
Non-binary,Bachelor's,Divorced,83308,613,Self-employed,0.387427745,Low
Non-binary,PhD,Single,33079,707,Unemployed,0.48752531,Low
Non-binary,High School,Single,53948,,Unemployed,0.3064492,Low
Female,Master's,Married,,694,Self-employed,0.57309224,Low
Male,PhD,Widowed,,767,Employed,0.447639818,High
Female,Bachelor's,Widowed,101171,746,Unemployed,0.34860512,High
Female,PhD,Divorced,,,Employed,0.523139127,High
Non-binary,High School,Divorced,,741,Unemployed,0.417443865,Low
Male,Master's,Married,94130,617,Employed,0.563325486,Low
Female,Bachelor's,Divorced,37986,704,Self-employed,0.104369709,Low
Male,PhD,Divorced,,741,Employed,0.185684346,Low
Female,High School,Widowed,,783,Employed,0.350298905,High
Male,High School,Divorced,66612,686,Employed,0.11125728,Low
Non-binary,High School,Single,54296,688,Employed,0.134128817,Low
Female,High School,Divorced,,,Unemployed,0.296113834,Low
Female,Master's,Widowed,52799,791,Unemployed,0.227381903,Low
Female,Master's,Widowed,89563,722,Employed,0.149540579,Low
Female,Bachelor's,Divorced,40407,,Unemployed,0.317969239,High
Female,Bachelor's,Widowed,118994,636,Self-employed,0.463204308,High
Female,PhD,Married,94289,746,Unemployed,0.488433328,Low
Male,Master's,Widowed,33706,700,Unemployed,0.484584075,High
Non-binary,Bachelor's,Single,57190,,Self-employed,0.434700606,Low
Non-binary,Bachelor's,Divorced,43237,698,Employed,0.161131989,High
Male,Master's,Widowed,77924,,Employed,0.28381014,Low
Non-binary,Master's,Single,,666,Employed,0.311090597,Low
Non-binary,Bachelor's,Married,113885,758,Employed,0.418271615,Low
Non-binary,Bachelor's,Single,,720,Self-employed,0.191358841,High
Female,High School,Married,,728,Unemployed,0.368679168,High
Female,Bachelor's,Single,41162,646,Unemployed,0.418394011,High
Male,High School,Widowed,63401,635,Employed,0.48803986,Low
Female,Master's,Married,30384,,Employed,0.177908954,Low
Non-binary,High School,Widowed,108148,633,Unemployed,0.202647016,High
Female,PhD,Married,74911,664,Self-employed,0.115067365,High
Male,PhD,Widowed,,651,Employed,0.316427199,Low
Male,PhD,Single,,772,Employed,0.454106882,Low
Male,Master's,Married,,,Self-employed,0.208519042,Low
Female,Bachelor's,Divorced,103967,668,Employed,0.386088348,High
Non-binary,PhD,Divorced,116969,694,Employed,0.138078181,High
Non-binary,Bachelor's,Single,,625,Self-employed,0.219594194,High
Male,High School,Divorced,24163,753,Employed,0.299366042,High
Male,Master's,Married,59913,793,Employed,0.379126492,Low
Female,High School,Married,78906,657,Unemployed,0.168169584,Low
Male,Bachelor's,Divorced,81742,645,Self-employed,0.546804443,Low
Non-binary,Bachelor's,Married,111434,,Unemployed,0.269459518,Low
Non-binary,Bachelor's,Divorced,44660,688,Unemployed,0.129733424,High
Male,Bachelor's,Widowed,44806,756,Self-employed,0.183583531,High
Non-binary,Master's,Divorced,105523,664,Employed,0.415573705,Low
Female,PhD,Divorced,,778,Self-employed,0.352704514,Low
Female,PhD,Divorced,105807,730,Unemployed,0.192396181,High
Female,Master's,Single,92043,609,Unemployed,0.133874323,Low
Male,Master's,Married,87381,617,Employed,0.470407521,Low
Male,Master's,Single,107938,630,Unemployed,0.278292193,Low
Female,High School,Widowed,44791,720,Self-employed,0.110591449,High
Male,Bachelor's,Single,29496,,Employed,0.293264286,Low
Non-binary,PhD,Married,61132,700,Employed,0.336442965,High
Female,Bachelor's,Single,42161,714,Employed,0.296887065,Low
Male,Master's,Divorced,118833,750,Unemployed,0.404471323,Low
Male,High School,Married,91826,,Employed,0.275051513,High
Male,High School,Married,,786,Employed,0.145127283,High
Non-binary,High School,Single,102299,,Self-employed,0.18559098,High
Male,Master's,Divorced,56726,665,Employed,0.133825566,High
Male,High School,Married,105381,631,Employed,0.483040205,High
Female,High School,Single,33133,613,Unemployed,0.306451274,High
Female,High School,Divorced,,657,Unemployed,0.52101328,Low
Male,PhD,Married,33065,634,Self-employed,0.365278166,High
Non-binary,High School,Single,59979,689,Employed,0.382427228,Low
Female,High School,Married,26800,731,Self-employed,0.273535982,Low
Non-binary,PhD,Widowed,21620,760,Self-employed,0.222733203,Low
Male,High School,Married,39307,631,Unemployed,0.23911859,High
Male,High School,Widowed,115001,652,Unemployed,0.365966576,Low
Female,Bachelor's,Single,105641,768,Employed,0.457216828,Low
Female,High School,Married,,716,Unemployed,0.494973967,Low
Male,Master's,Married,,,Employed,0.389455609,High
Non-binary,Master's,Single,32501,789,Unemployed,0.203914338,High
Non-binary,Bachelor's,Widowed,78639,707,Employed,0.177606796,High
Non-binary,Bachelor's,Divorced,93967,712,Self-employed,0.591026175,Low
Male,Bachelor's,Widowed,,771,Unemployed,0.497263386,Low
Female,Bachelor's,Married,60821,600,Self-employed,0.358475381,Low
Male,Bachelor's,Divorced,46038,610,Unemployed,0.322324769,High
Non-binary,Master's,Married,82110,768,Self-employed,0.350381787,Low
Non-binary,Bachelor's,Single,73516,,Unemployed,0.413561707,Low
Male,Master's,Divorced,103003,775,Employed,0.513838177,High
Male,PhD,Divorced,,629,Employed,0.204519589,High
Female,High School,Single,36108,654,Employed,0.549394562,Low
Female,Master's,Widowed,,768,Self-employed,0.567393303,Low
Female,Master's,Divorced,45832,710,Self-employed,0.419548272,Low
Male,PhD,Widowed,105312,622,Unemployed,0.341497722,High
Non-binary,PhD,Divorced,97755,714,Unemployed,0.195046674,Low
Non-binary,Bachelor's,Divorced,72890,729,Self-employed,0.20513937,Low
Non-binary,High School,Divorced,38268,784,Self-employed,0.526359729,Low
Non-binary,Master's,Divorced,56527,603,Employed,0.107516034,Low
Female,PhD,Widowed,115773,675,Self-employed,0.389649506,Low
Male,PhD,Married,,626,Employed,0.274032482,High
Male,PhD,Single,89926,,Unemployed,0.528400836,Low
Female,High School,Divorced,34987,677,Employed,0.393403747,High
Male,PhD,Widowed,90030,690,Employed,0.444593356,High
Male,Bachelor's,Widowed,72249,697,Employed,0.292539227,Low
Female,PhD,Single,,602,Employed,0.426190844,Low
Female,High School,Single,29179,691,Self-employed,0.586917251,High
Non-binary,Bachelor's,Married,102168,790,Employed,0.583677779,Low
Male,Bachelor's,Divorced,117686,701,Self-employed,0.585212334,Low
Female,High School,Single,108602,799,Employed,0.186855687,High
Female,PhD,Married,97318,769,Employed,0.238885651,Low
Non-binary,Bachelor's,Married,,770,Employed,0.42346559,Low
Male,Bachelor's,Single,42555,680,Employed,0.4540456,Low
Male,Bachelor's,Married,112222,737,Employed,0.425858605,High
Female,Master's,Divorced,23346,600,Self-employed,0.589575187,High
Female,Master's,Divorced,116669,782,Employed,0.35701895,Low
Female,Bachelor's,Divorced,50268,764,Unemployed,0.597737364,High
Non-binary,High School,Divorced,80044,706,Self-employed,0.506514339,Low
Non-binary,PhD,Divorced,31377,690,Unemployed,0.402610126,Low
Non-binary,Bachelor's,Divorced,105977,,Self-employed,0.10221208,High
Non-binary,Bachelor's,Widowed,89070,,Employed,0.555160219,Low
Male,High School,Married,72748,711,Unemployed,0.197163506,Low
Female,Master's,Widowed,39750,649,Employed,0.405760055,High
Male,High School,Widowed,92195,661,Unemployed,0.49251948,High
Non-binary,Bachelor's,Divorced,115515,718,Unemployed,0.323737968,High
Non-binary,Bachelor's,Widowed,116093,723,Self-employed,0.212951981,High
Male,High School,Divorced,88283,720,Employed,0.109377955,Low
Male,Bachelor's,Widowed,89541,662,Self-employed,0.404411986,Low
Non-binary,Master's,Widowed,108509,701,Self-employed,0.166705445,High
Female,Bachelor's,Single,90480,,Employed,0.327963763,High
Female,Bachelor's,Married,46671,791,Employed,0.120895298,Low
Male,High School,Divorced,75210,629,Self-employed,0.25279522,High
Non-binary,High School,Single,,642,Employed,0.598431336,Low
Non-binary,Bachelor's,Divorced,,704,Employed,0.11551149,Low
Female,Master's,Married,39623,782,Self-employed,0.338953088,High
Female,Bachelor's,Married,25988,727,Employed,0.463729395,High
Non-binary,High School,Widowed,38722,,Unemployed,0.493566455,Low
Non-binary,Bachelor's,Widowed,65221,763,Unemployed,0.301995926,High
Female,High School,Married,37907,,Unemployed,0.164555303,Low
Non-binary,PhD,Widowed,115833,734,Employed,0.233933227,High
Male,PhD,Married,,637,Unemployed,0.120994175,Low
Non-binary,Bachelor's,Widowed,109364,668,Unemployed,0.167345235,Low
Female,PhD,Single,20185,670,Employed,0.335747279,High
Non-binary,Bachelor's,Widowed,79379,774,Employed,0.373437205,High
Female,High School,Widowed,28469,635,Unemployed,0.576871939,Low
Female,High School,Divorced,20888,,Unemployed,0.284444329,Low
Male,Bachelor's,Widowed,30002,614,Self-employed,0.43194053,Low
Non-binary,Master's,Divorced,117192,689,Self-employed,0.370107934,High
Female,Master's,Single,112199,647,Employed,0.105343069,Low
Male,Bachelor's,Divorced,95955,618,Unemployed,0.408295832,Low
Female,Master's,Single,39121,641,Unemployed,0.555054319,High
Female,High School,Married,,626,Employed,0.457412673,Low
Female,High School,Widowed,29033,648,Self-employed,0.308766256,High
Non-binary,Bachelor's,Widowed,88637,724,Self-employed,0.460504411,High
Non-binary,Master's,Married,103130,690,Unemployed,0.554489016,Low
Male,Master's,Married,70806,600,Self-employed,0.478277935,High
Non-binary,High School,Widowed,80098,692,Self-employed,0.39801963,Low
Female,Master's,Divorced,,732,Unemployed,0.321895652,Low
Male,Bachelor's,Divorced,,650,Self-employed,0.552915921,Low
Male,Bachelor's,Divorced,114711,684,Employed,0.243013522,Low
Female,Bachelor's,Single,45482,,Employed,0.286170522,High
Male,Master's,Widowed,73812,735,Employed,0.479255625,High
Male,Master's,Divorced,56380,758,Self-employed,0.149673226,High
Male,PhD,Married,82934,,Employed,0.575380756,High
Male,Master's,Divorced,62637,782,Employed,0.439388451,Low
Non-binary,PhD,Widowed,35977,715,Self-employed,0.584900247,Low
Male,High School,Divorced,117417,690,Employed,0.108748948,Low
Male,High School,Married,77872,761,Unemployed,0.198099145,High
Non-binary,PhD,Married,36127,701,Employed,0.408645692,High
Female,Master's,Married,55985,683,Employed,0.435383283,Low
Female,High School,Married,118979,777,Self-employed,0.40848958,Low
Female,High School,Single,32741,675,Self-employed,0.376806601,High
Female,PhD,Widowed,104600,612,Self-employed,0.317302498,Low
Male,PhD,Married,100880,704,Unemployed,0.150136347,Low
Female,Master's,Married,84796,670,Unemployed,0.485949304,Low
Non-binary,High School,Divorced,65984,781,Unemployed,0.18694503,High
Male,Master's,Divorced,40932,775,Employed,0.31429093,Low
Female,Bachelor's,Divorced,30935,668,Self-employed,0.43724482,High
Non-binary,PhD,Single,106348,611,Employed,0.282896618,Low
Female,Master's,Divorced,42880,661,Unemployed,0.27276157,Low
Female,Bachelor's,Widowed,93396,607,Employed,0.192853003,High
Non-binary,Master's,Married,102307,799,Self-employed,0.448301541,Low
Male,Bachelor's,Married,48805,737,Employed,0.278884656,Low
Male,High School,Divorced,44318,712,Unemployed,0.124930619,High
Male,Bachelor's,Single,86473,758,Unemployed,0.191076446,High
Female,Master's,Single,110703,609,Self-employed,0.544188472,Low
Male,PhD,Married,91521,725,Self-employed,0.533290791,High
Male,Master's,Single,,612,Unemployed,0.101769394,High
Non-binary,PhD,Widowed,98347,624,Employed,0.153736244,High
Male,High School,Single,90345,779,Self-employed,0.224792324,High
Non-binary,Master's,Divorced,70325,762,Self-employed,0.139648585,Low
Female,High School,Single,31955,684,Unemployed,0.339846184,High
Female,High School,Divorced,112301,635,Employed,0.207213102,High
Male,PhD,Single,41865,752,Unemployed,0.467941024,High
Female,PhD,Divorced,66806,,Self-employed,0.174855792,Low
Male,Bachelor's,Single,114182,788,Self-employed,0.41174122,Low
Non-binary,High School,Widowed,102318,620,Unemployed,0.286985992,Low
Female,Bachelor's,Single,50161,625,Unemployed,0.498217589,Low
Male,Master's,Married,24942,706,Unemployed,0.409127486,Low
Female,Bachelor's,Married,89254,742,Unemployed,0.42467678,Low
Non-binary,Bachelor's,Divorced,101454,762,Unemployed,0.161798915,High
Male,PhD,Single,115192,767,Employed,0.166504847,Low
Non-binary,Bachelor's,Widowed,92468,613,Unemployed,0.348952539,Low
Male,Bachelor's,Divorced,26107,634,Unemployed,0.488739673,Low
Male,PhD,Single,111253,701,Self-employed,0.21019322,Low
Male,Master's,Divorced,38773,601,Employed,0.241080145,High
Non-binary,Master's,Divorced,60148,701,Unemployed,0.567660863,Low
Non-binary,PhD,Married,53743,639,Employed,0.333923391,High
Male,PhD,Divorced,60730,766,Self-employed,0.436476913,High
Female,PhD,Single,84736,750,Employed,0.296728131,Low
Non-binary,Master's,Single,63043,,Unemployed,0.199952015,High
Male,Master's,Single,78209,756,Unemployed,0.138585759,Low
Non-binary,Master's,Married,83202,,Self-employed,0.108162599,Low
Female,PhD,Widowed,117368,,Self-employed,0.573877463,High
Male,High School,Single,112064,688,Self-employed,0.337285966,High
Male,High School,Widowed,82103,689,Self-employed,0.591013706,Low
Female,High School,Married,52788,793,Employed,0.269787918,Low
Female,Master's,Divorced,72365,,Self-employed,0.302917551,High
Non-binary,High School,Single,106934,663,Unemployed,0.303482204,High
Male,Bachelor's,Divorced,38316,,Unemployed,0.536111135,Low
Non-binary,Master's,Married,28002,683,Self-employed,0.437179912,High
Male,High School,Single,68110,740,Unemployed,0.513125568,Low
Non-binary,PhD,Widowed,118097,,Unemployed,0.591234765,High
Non-binary,PhD,Married,63805,795,Unemployed,0.23936609,Low
Male,PhD,Single,109666,669,Unemployed,0.504544475,High
Male,PhD,Widowed,26677,751,Employed,0.568656345,Low
Non-binary,PhD,Married,77993,674,Employed,0.184486089,High
Female,Master's,Widowed,107638,675,Unemployed,0.269524767,High
Male,Bachelor's,Single,77367,725,Self-employed,0.533398668,High
Male,Bachelor's,Married,65520,631,Unemployed,0.32439398,Low
Non-binary,PhD,Widowed,98411,662,Employed,0.293451986,Low
Male,PhD,Married,114440,793,Unemployed,0.260296598,High
Female,Bachelor's,Married,24019,,Employed,0.205572557,High
Female,PhD,Divorced,,798,Unemployed,0.549259838,High
Female,PhD,Married,31360,779,Employed,0.304782252,High
Male,Bachelor's,Widowed,23487,679,Employed,0.548518531,Low
Male,PhD,Widowed,100543,646,Self-employed,0.383381945,Low
Male,Bachelor's,Married,96202,614,Self-employed,0.105102513,Low
Female,Bachelor's,Married,,608,Self-employed,0.477054351,Low
Female,High School,Widowed,69681,678,Employed,0.320539968,High
Female,PhD,Single,83872,,Employed,0.522265968,High
Female,High School,Single,61798,653,Employed,0.417949739,High
Non-binary,High School,Single,,616,Employed,0.16555299,Low
Female,Master's,Married,78951,615,Unemployed,0.387376652,Low
Male,PhD,Married,,748,Self-employed,0.398268394,Low
Male,Bachelor's,Married,115341,667,Employed,0.556176885,Low
Female,Bachelor's,Divorced,85158,657,Self-employed,0.429120463,Low
Female,High School,Widowed,80658,636,Self-employed,0.351747482,Low
Female,Master's,Divorced,89225,722,Employed,0.171633618,High
Non-binary,Master's,Divorced,115204,795,Employed,0.47905945,High
Non-binary,PhD,Widowed,96286,616,Unemployed,0.218081795,Low
Male,PhD,Widowed,84877,794,Employed,0.17454884,High
Male,High School,Widowed,100138,628,Self-employed,0.1385471,High
Male,Master's,Divorced,,676,Self-employed,0.47362594,Low
Non-binary,High School,Widowed,47702,606,Employed,0.457654669,High
Non-binary,Master's,Married,,760,Employed,0.127208799,High
Male,Master's,Married,91129,733,Self-employed,0.359394032,High
Male,Master's,Single,46570,,Unemployed,0.193357519,Low
Male,Master's,Single,106643,777,Unemployed,0.125001699,Low
Non-binary,High School,Widowed,33901,722,Self-employed,0.443993902,High
Female,PhD,Single,23260,675,Unemployed,0.520563804,Low
Non-binary,PhD,Single,96028,628,Employed,0.261733238,High
Male,Master's,Married,106181,791,Self-employed,0.126327971,High
Female,Master's,Widowed,109686,721,Self-employed,0.27613103,High
Non-binary,High School,Widowed,39861,607,Self-employed,0.578177206,Low
Male,Bachelor's,Widowed,44325,759,Employed,0.180654957,High
Male,Bachelor's,Divorced,,,Self-employed,0.212588158,High
Non-binary,Bachelor's,Widowed,38243,768,Employed,0.401038255,Low
Male,High School,Single,50331,743,Unemployed,0.447922929,High
Male,Master's,Widowed,109622,644,Unemployed,0.348430763,Low
Male,Bachelor's,Married,62732,618,Self-employed,0.287763063,Low
Non-binary,High School,Widowed,77874,,Employed,0.592505913,Low
Non-binary,High School,Single,46597,620,Self-employed,0.354730426,Low
Non-binary,PhD,Widowed,117739,732,Self-employed,0.531414055,High
Female,Master's,Divorced,72483,774,Unemployed,0.129155499,High
Male,Master's,Single,102862,731,Unemployed,0.449028058,Low
Male,Bachelor's,Single,107340,722,Self-employed,0.523808245,High
Non-binary,Master's,Married,118637,629,Self-employed,0.215564319,High
Female,Master's,Single,110502,655,Self-employed,0.440230337,Low
Female,High School,Widowed,37458,623,Employed,0.515530501,Low
Female,Master's,Widowed,111713,,Self-employed,0.455008655,Low
Female,Bachelor's,Divorced,79507,739,Unemployed,0.26667546,Low
Female,PhD,Widowed,,642,Employed,0.510522553,High
Male,Master's,Widowed,93673,,Self-employed,0.366356587,High
Female,PhD,Widowed,78973,711,Self-employed,0.312219324,Low
Male,High School,Divorced,40642,,Self-employed,0.282952811,High
Non-binary,Bachelor's,Single,,789,Unemployed,0.372233743,Low
Non-binary,Master's,Single,81717,766,Unemployed,0.543451148,Low
Female,High School,Single,108281,705,Unemployed,0.284642547,Low
Female,PhD,Married,50029,735,Employed,0.373572575,Low
Male,High School,Single,41292,627,Self-employed,0.519535087,Low
Male,High School,Widowed,105823,619,Unemployed,0.471213672,Low
Female,PhD,Divorced,95871,752,Employed,0.593315006,Low
Female,High School,Widowed,101259,635,Self-employed,0.158052955,High
Non-binary,High School,Divorced,78017,689,Employed,0.295911498,Low
Non-binary,Bachelor's,Divorced,83427,621,Self-employed,0.556567606,Low
Non-binary,Master's,Widowed,104458,688,Self-employed,0.239254533,Low
Male,Bachelor's,Widowed,63352,655,Unemployed,0.117715842,High
Female,Bachelor's,Widowed,75309,,Self-employed,0.134753214,Low
Non-binary,Bachelor's,Single,112995,617,Unemployed,0.404957686,Low
Non-binary,High School,Married,62213,719,Self-employed,0.104980266,Low
Non-binary,PhD,Married,45525,666,Self-employed,0.233718414,Low
Male,PhD,Divorced,108568,798,Employed,0.187800216,High
Male,Bachelor's,Single,99183,632,Employed,0.502732251,Low
Male,Bachelor's,Single,97701,747,Self-employed,0.538443647,Low
Female,Bachelor's,Married,46807,607,Unemployed,0.136276091,Low
Male,PhD,Divorced,110859,736,Employed,0.507729765,Low
Male,PhD,Married,64852,602,Self-employed,0.361896796,Low
Non-binary,High School,Single,90921,696,Unemployed,0.131425506,High
Female,Master's,Widowed,48780,786,Self-employed,0.535892142,High
Female,PhD,Divorced,103336,748,Employed,0.142029619,Low
Male,High School,Single,37197,683,Self-employed,0.155532228,Low
Female,PhD,Divorced,113913,639,Unemployed,0.439634221,Low
Female,PhD,Widowed,101666,,Employed,0.182460868,Low
Non-binary,High School,Single,21642,673,Self-employed,0.19300363,High
Female,Bachelor's,Single,103190,628,Employed,0.416988288,Low
Non-binary,PhD,Widowed,93588,650,Employed,0.389558732,Low
Male,Master's,Divorced,43500,648,Self-employed,0.151740142,High
Male,Bachelor's,Divorced,43763,,Unemployed,0.323992815,High
Male,High School,Widowed,73702,678,Unemployed,0.109001592,High
Male,PhD,Single,97366,728,Self-employed,0.529374246,Low
Non-binary,Bachelor's,Widowed,44450,724,Employed,0.358384376,Low
Non-binary,Bachelor's,Divorced,97022,,Employed,0.392685997,Low
Male,Master's,Widowed,61423,739,Unemployed,0.266154006,Low
Non-binary,High School,Widowed,118847,777,Employed,0.581830759,Low
Male,Bachelor's,Divorced,,602,Employed,0.174288943,Low
Male,Master's,Widowed,95675,698,Unemployed,0.307476404,Low
Non-binary,Bachelor's,Married,38066,,Self-employed,0.587852018,Low
Male,Bachelor's,Married,72813,680,Employed,0.321305855,Low
Female,Master's,Widowed,49511,685,Employed,0.406816526,High
Non-binary,PhD,Widowed,33587,731,Employed,0.368762396,Low
Female,High School,Divorced,110016,635,Unemployed,0.26446948,High
Non-binary,High School,Divorced,27485,,Unemployed,0.108040701,Low
Male,Bachelor's,Divorced,,,Employed,0.527665926,Low
Female,High School,Widowed,33707,665,Unemployed,0.199535733,High
Non-binary,PhD,Married,40557,647,Self-employed,0.287346304,Low
Non-binary,Bachelor's,Widowed,70050,684,Unemployed,0.249107721,High
Non-binary,Bachelor's,Single,25461,768,Self-employed,0.587845973,High
Non-binary,PhD,Single,72025,746,Unemployed,0.599290138,High
Non-binary,Master's,Divorced,,600,Self-employed,0.38112113,High
Male,High School,Single,103298,756,Employed,0.258362248,High
Non-binary,Bachelor's,Widowed,114200,606,Unemployed,0.357838604,High
Non-binary,Bachelor's,Single,,,Unemployed,0.257815304,Low
Female,High School,Single,67404,783,Employed,0.303486426,High
Non-binary,Master's,Married,,736,Employed,0.242400066,High
Male,PhD,Married,35362,755,Self-employed,0.408717578,High
Female,High School,Divorced,50657,701,Employed,0.535383014,Low
Female,PhD,Married,118631,732,Self-employed,0.483835016,High
Female,High School,Married,118279,685,Self-employed,0.338918648,Low
Male,Master's,Divorced,104559,737,Employed,0.337531887,High
Female,Bachelor's,Single,40773,746,Unemployed,0.129575753,Low
Non-binary,PhD,Single,,734,Self-employed,0.491535637,Low
Female,PhD,Single,,691,Self-employed,0.213273848,High
Non-binary,High School,Married,,765,Unemployed,0.453384355,Low
Male,PhD,Married,,728,Unemployed,0.226578427,Low
Male,High School,Married,,636,Self-employed,0.161165248,Low
Non-binary,High School,Divorced,66384,714,Unemployed,0.544929007,High
Non-binary,Bachelor's,Married,,635,Employed,0.270321674,Low
Non-binary,PhD,Widowed,59453,,Self-employed,0.36344762,High
Female,PhD,Divorced,81134,675,Self-employed,0.222141747,High
Male,PhD,Single,69546,701,Employed,0.487150988,Low
Female,Master's,Married,31171,650,Self-employed,0.489093639,Low
Male,Master's,Widowed,,663,Self-employed,0.127374486,Low
Non-binary,High School,Married,116706,,Self-employed,0.203228131,Low
Male,PhD,Widowed,78139,,Employed,0.448533636,Low
Non-binary,High School,Divorced,42516,763,Self-employed,0.481486371,Low
Non-binary,Bachelor's,Widowed,,,Self-employed,0.336553761,Low
Non-binary,High School,Single,,643,Unemployed,0.140240069,Low
Male,Bachelor's,Divorced,64407,662,Employed,0.167177846,High
Male,PhD,Widowed,41329,,Self-employed,0.191036802,Low
Male,Master's,Married,29321,621,Employed,0.307246528,Low
